Fase,Semana,Atividade,Responsavel,DuracaoDias,Observacoes
Kickoff,S1,Reunião de kickoff com Diretoria e Gerência,PMO / Consultor,1,Apresentar metodologia e cronograma macro
Kickoff,S1,Apresentação do escopo e modelo corporativo SAP PM,Consultor SAP PM,1,Referenciar processos das demais plantas
Kickoff,S1,Confirmação dos Key Users por área,Gerente de Manutenção,1,Definir representantes de Manutenção e TI
Kickoff,S2,Configuração de acessos ao ambiente de desenvolvimento,Basis / TI,1,Perfis de acesso ao sistema SAP
Kickoff,S2,Visita técnica à planta em construção,Consultor / Key User,2,Levantar layout e ativos planejados
Kickoff,S2,Levantamento inicial de equipamentos e instalações planejadas,Key User Manutenção,3,Elaborar lista preliminar de FLs e equipamentos
Kickoff,S2,Alinhamento do cronograma detalhado com o time,PMO,1,Validar datas marco com stakeholders
Blueprint,S3,Workshop: Estrutura de Localização Funcional (IFLOT),Consultor SAP PM,2,Definir hierarquia de FLs da nova planta
Blueprint,S3,Workshop: Cadastro e Classificação de Equipamentos,Consultor SAP PM,1,Alinhar categorias e estruturas de equipamentos
Blueprint,S4,Workshop: Ordens de Manutenção (IW31-IW38),Consultor SAP PM,2,Corretiva e emergencial — fluxo completo
Blueprint,S4,Workshop: Planos de Manutenção Preventiva (IP01/IP41),Consultor SAP PM,2,Calendário e orientado a contador
Blueprint,S5,Workshop: Catálogos de Dano / Causa / Atividade,Consultor / Key User,1,Validar catálogos do modelo corporativo
Blueprint,S5,Workshop: Centros de Trabalho e Grupos de Planejamento,Consultor / Key User,1,Definir CTs e grupos específicos da planta
Blueprint,S5,Revisão e adaptação do modelo de dados mestres corporativos,Consultor SAP PM,3,Garantir alinhamento com padrão da empresa
Blueprint,S6,Definição da estrutura organizacional (Centro / Área / Setor PM),PMO / Consultor,1,Criar centro de manutenção no sistema
Blueprint,S6,Aprovação formal do Blueprint pelos responsáveis,Gerente / Sponsor,2,Sign-off obrigatório antes da realização
Realizacao,S7,Configuração da estrutura organizacional no SPRO,Consultor / Basis,2,Centro de Manutenção e parametrização base
Realizacao,S7,Parametrização do módulo PM para a nova planta,Consultor SAP PM,3,Tipos de ordem e status de sistema
Realizacao,S8,Carga de dados: Localizações Funcionais (LSMW / LTMC),Consultor / Key User,5,Validar hierarquia antes da carga
Realizacao,S9,Carga de dados: Equipamentos e hierarquia técnica,Consultor / Key User,5,Incluir dados de fabricante e garantia
Realizacao,S10,Carga de dados: Planos de Manutenção,Consultor / Key User,5,Validar frequências com engenharia
Realizacao,S11,Carga de dados: Listas de Objetos e Pontos de Medição,Consultor / Key User,3,Necessário para manutenção preditiva
Realizacao,S11,Carga de dados: Centros de Trabalho (CR01),Key User RH / Manutenção,2,Capacidade e custo por hora
